"id","SYMBOL"
"17221993","GM9839"
"17221995","GM5415"
"17221999",NA
"17222001","PRIM2"
"17222020","BAG2"
"17222026","ZFP451"
"17222051","GM15455"
"17222053","BEND6"
"17222064",NA
"17222066",NA
"17222070","MIR5103"
"17222072","CCDC115"
"17222080","PRSS40"
"17222092",NA
"17222094","AA619741"
"17222096","FAM168B"
"17222104",NA
"17222106","UGGT1"
"17222149","NEURL3"
"17222156","KANSL3"
"17222179","LMAN2L"
"17222193","ANKRD23"
"17222205","ANKRD39"
"17222211","SEMA4C"
"17222232","FAM178B"
"17222256","ACTR1B"
"17222274","TMEM131"
"17222318",NA
"17222321",NA
"17222326","6330578E17RIK"
"17222332","MGAT4A"
"17222354","4930594C11RIK"
"17222356","2010300C02RIK"
"17222371","TSGA10"
"17222396","MITD1"
"17222411","LYG2"
"17222420","LYG1"
"17222429","TXNDC9"
"17222440","REV1"
"17222465","AFF3"
"17222495","LONRF2"
"17222511","CHST10"
"17222524","GM19877"
"17222527","TBC1D8"
"17222549","RNF149"
"17222564","SNORD89"
"17222566",NA
"17222568","CREG2"
"17222575","RFX8"
"17222593","GM3646"
"17222596","1700066B17RIK"
"17222601","GM16894"
"17222606","MFSD9"
"17222614","4930448I06RIK"
"17222618","2610017I09RIK"
"17222623",NA
"17222625","TGFBRAP1"
"17222642","FHL2"
"17222650","UXS1"
"17222668","A530098C11RIK"
"17222677",NA
"17222679","1700029F09RIK"
"17222694","KDELC1"
"17222707","4832428D23RIK"
"17222716","4930521E06RIK"
"17222719","COL5A2"
"17222775",NA
"17222777","SLC40A1"
"17222790","GM4776"
"17222800","SLC39A10"
"17222815",NA
"17222817",NA
"17222819","9330175M20RIK"
"17222825","OBFC2A"
"17222834","GM17767"
"17222837","MYO1B"
"17222876",NA
"17222878","GM3940"
"17222880","GLS"
"17222911",NA
"17222913","NAB1"
"17222925","MFSD6"
"17222940","INPP1"
"17222951","1700019D03RIK"
"17222959","1700019A02RIK"
"17222968","PMS1"
"17222988","ASNSD1"
"17223002","DNAHC7A"
"17223069","STK17B"
"17223080","HECW2"
"17223115",NA
"17223117","GTF3C3"
"17223138","PGAP1"
"17223169","ANKRD44"
"17223200","SF3B1"
"17223228","HSPD1"
"17223245","RFTN2"
"17223261","BOLL"
"17223277","GM6644"
"17223279","HSFY2"
"17223283","SATB2"
"17223298",NA
"17223300","BC055402"
"17223308","4930558J18RIK"
"17223313","1110034B05RIK"
"17223327",NA
"17223329",NA
"17223332","KCTD18"
"17223344",NA
"17223353","CLK1"
"17223378","PPIL3"
"17223390","ORC2"
"17223412","FAM126B"
"17223429","ALS2CR12"
"17223446","TRAK2"
"17223467",NA
"17223471",NA
"17223473","ALS2CR11"
"17223490","TMEM237"
"17223509","MPP4"
"17223532","ALS2"
"17223571",NA
"17223574","SUMO1"
"17223581","ICA1L"
"17223594","WDR12"
"17223616","RAPH1"
"17223641",NA
"17223643","GM11579"
"17223646","4930587A21RIK"
"17223649","PARD3B"
"17223655",NA
"17223659",NA
"17223662","4930487H11RIK"
"17223666","INO80D"
"17223685","NDUFS1"
"17223710","GPR1"
"17223717",NA
"17223726",NA
"17223728",NA
"17223730","DYTN"
"17223747","MDH1B"
"17223760","4933402D24RIK"
"17223766","KLF7"
"17223777","METTL21A"
"17223787","CCNYL1"
"17223793","FZD5"
"17223799","PLEKHM3"
"17223811",NA
"17223813","AKR1CL"
"17223828","CRYGE"
"17223834","CRYGD"
"17223839","CRYGC"
"17223844","CRYGB"
"17223848","CRYGA"
"17223852","D630023F18RIK"
"17223863","IDH1"
"17223876","GM10558"
"17223880","KANSL1L"
"17223903","ACADL"
"17223916","MYL1"
"17223932","LANCL1"
"17223946","ERBB4"
"17223980",NA
"17223982",NA
"17223985","IKZF2"
"17223995",NA
"17223997",NA
"17223999","BARD1"
"17224015","ABCA12"
"17224071","FN1"
"17224121","4933417E11RIK"
"17224125","MREG"
"17224133","PECR"
"17224146","MARCH4"
"17224154","ANKAR"
"17224180","IGFBP5"
"17224191","TNP1"
"17224195","PINC"
"17224201","6030407O03RIK"
"17224211","TNS1"
"17224251","CXCR1"
"17224254","MIR1928"
"17224256","AAMP"
"17224270","TMBIM1"
"17224291","USP37"
"17224320","ZFP142"
"17224340",NA
"17224342","RNF25"
"17224360","PRKAG3"
"17224379","FEV"
"17224386","CRYBA2"
"17224395","MIR375"
"17224397","CCDC108"
"17224433","IHH"
"17224440","NHEJ1"
"17224447","SLC23A3"
"17224462","1810031K17RIK"
"17224476","ABCB6"
"17224500","ATG9A"
"17224520","GLB1L"
"17224540","TUBA4A"
"17224546","A630095N17RIK"
"17224551","PTPRN"
"17224577","RESP18"
"17224587","DNPEP"
"17224608","GM15179"
"17224614",NA
"17224617","LOC100862164"
"17224620","CHPF"
"17224629","OBSL1"
"17224661","EPHA4"
"17224682",NA
"17224684","PAX3"
"17224698","GM2102"
"17224702","FARSB"
"17224724","BC035947"
"17224727",NA
"17224730","SCG2"
"17224736",NA
"17224738","AP1S3"
"17224745","WDFY1"
"17224771","SERPINE2"
"17224783","FAM124B"
"17224791","CUL3"
"17224811",NA
"17224813","DOCK10"
"17224878","IRS1"
"17224882","COL4A4"
"17224935","TM4SF20"
"17224942","SLC19A3"
"17224952",NA
"17224954","SPHKAP"
"17224971","PID1"
"17224977","DNER"
"17224993","TRIP12"
"17225037","SLC16A14"
"17225046","C130026I21RIK"
"17225066","SP140"
"17225080","GM7609"
"17225085",NA
"17225088","SP110"
"17225110",NA
"17225113","GM19524"
"17225116",NA
"17225119","A630001G21RIK"
"17225134","GPR55"
"17225138","HTR2B"
"17225146",NA
"17225150","B3GNT7"
"17225153","NCL"
"17225169","SNORA75"
"17225171",NA
